customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Tenure_Group,Monthly_Charge_Range,Predicted_Churn_Probability,Churn_Risk_Percentage,Predicted_Churn,Prediction_Correct,Churn_Risk_Category,Churn_Risk_Score,Retention_Priority,Retention_Action,High_Risk_Flag
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,0–12 Months,$0–$35,0.6137166684624746,61.37,Yes,No,High Risk,61,Priority 2 - High,Offer contract upgrade incentive; Promote automatic payment enrollment; Offer security service retention package; Offer technical support retention package,Yes
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,25–48 Months,$35.01–$70,0.04449726850519392,4.45,No,Yes,Low Risk,4,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,0–12 Months,$35.01–$70,0.2991854209877763,29.92,No,No,Low Risk,30,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,25–48 Months,$35.01–$70,0.028452076052963633,2.85,No,Yes,Low Risk,3,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,0–12 Months,$70.01–$90,0.6915804859296764,69.16,Yes,Yes,High Risk,69,Priority 2 - High,Offer contract upgrade incentive; Promote automatic payment enrollment; Offer security service retention package; Offer technical support retention package,Yes
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,0–12 Months,$90.01–$120,0.7963087122309375,79.63,Yes,Yes,High Risk,80,Priority 2 - High,Offer contract upgrade incentive; Promote automatic payment enrollment; Offer security service retention package; Offer technical support retention package,Yes
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,13–24 Months,$70.01–$90,0.4876637864368744,48.77,No,Yes,Medium Risk,49,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,0–12 Months,$0–$35,0.29327984630961595,29.33,No,Yes,Low Risk,29,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,25–48 Months,$90.01–$120,0.623626069686717,62.36,Yes,Yes,High Risk,62,Priority 2 - High,Offer contract upgrade incentive; Promote automatic payment enrollment; Offer security service retention package,Yes
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,49–72 Months,$35.01–$70,0.010513055458526209,1.05,No,Yes,Low Risk,1,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
